UnitName,X,Y,Length,Width,Label
Chiplet_0_0,0.000000,0.000000,0.017000,0.030000,Bump
Chiplet_0_1,0.018000,0.000000,0.017000,0.030000,Bump
Chiplet_0_2,0.036000,0.000000,0.017000,0.030000,Bump
Chiplet_0_3,0.054000,0.000000,0.017000,0.030000,Bump
Chiplet_0_4,0.072000,0.000000,0.017000,0.030000,Bump
Chiplet_0_5,0.090000,0.000000,0.017000,0.030000,Bump
Chiplet_0_6,0.108000,0.000000,0.017000,0.030000,Bump
Chiplet_0_7,0.126000,0.000000,0.017000,0.030000,Bump
Chiplet_0_8,0.144000,0.000000,0.017000,0.030000,Bump
Chiplet_0_9,0.162000,0.000000,0.017000,0.030000,Bump
Chiplet_0_10,0.180000,0.000000,0.017000,0.030000,Bump
Chiplet_0_11,0.198000,0.000000,0.017000,0.030000,Bump
Chiplet_1_0,0.000000,0.031000,0.017000,0.030000,Bump
Chiplet_1_1,0.018000,0.031000,0.017000,0.030000,Bump
Chiplet_1_2,0.036000,0.031000,0.017000,0.030000,Bump
Chiplet_1_3,0.054000,0.031000,0.017000,0.030000,Bump
Chiplet_1_4,0.072000,0.031000,0.017000,0.030000,Bump
Chiplet_1_5,0.090000,0.031000,0.017000,0.030000,Bump
Chiplet_1_6,0.108000,0.031000,0.017000,0.030000,Bump
Chiplet_1_7,0.126000,0.031000,0.017000,0.030000,Bump
Chiplet_1_8,0.144000,0.031000,0.017000,0.030000,Bump
Chiplet_1_9,0.162000,0.031000,0.017000,0.030000,Bump
Chiplet_1_10,0.180000,0.031000,0.017000,0.030000,Bump
Chiplet_1_11,0.198000,0.031000,0.017000,0.030000,Bump
Chiplet_2_0,0.000000,0.062000,0.017000,0.030000,Bump
Chiplet_2_1,0.018000,0.062000,0.017000,0.030000,Bump
Chiplet_2_2,0.036000,0.062000,0.017000,0.030000,Bump
Chiplet_2_3,0.054000,0.062000,0.017000,0.030000,Bump
Chiplet_2_4,0.072000,0.062000,0.017000,0.030000,Bump
Chiplet_2_5,0.090000,0.062000,0.017000,0.030000,Bump
Chiplet_2_6,0.108000,0.062000,0.017000,0.030000,Bump
Chiplet_2_7,0.126000,0.062000,0.017000,0.030000,Bump
Chiplet_2_8,0.144000,0.062000,0.017000,0.030000,Bump
Chiplet_2_9,0.162000,0.062000,0.017000,0.030000,Bump
Chiplet_2_10,0.180000,0.062000,0.017000,0.030000,Bump
Chiplet_2_11,0.198000,0.062000,0.017000,0.030000,Bump
Chiplet_3_0,0.000000,0.093000,0.017000,0.030000,Bump
Chiplet_3_1,0.018000,0.093000,0.017000,0.030000,Bump
Chiplet_3_2,0.036000,0.093000,0.017000,0.030000,Bump
Chiplet_3_3,0.054000,0.093000,0.017000,0.030000,Bump
Chiplet_3_4,0.072000,0.093000,0.017000,0.030000,Bump
Chiplet_3_5,0.090000,0.093000,0.017000,0.030000,Bump
Chiplet_3_6,0.108000,0.093000,0.017000,0.030000,Bump
Chiplet_3_7,0.126000,0.093000,0.017000,0.030000,Bump
Chiplet_3_8,0.144000,0.093000,0.017000,0.030000,Bump
Chiplet_3_9,0.162000,0.093000,0.017000,0.030000,Bump
Chiplet_3_10,0.180000,0.093000,0.017000,0.030000,Bump
Chiplet_3_11,0.198000,0.093000,0.017000,0.030000,Bump
Chiplet_4_0,0.000000,0.124000,0.017000,0.030000,Bump
Chiplet_4_1,0.018000,0.124000,0.017000,0.030000,Bump
Chiplet_4_2,0.036000,0.124000,0.017000,0.030000,Bump
Chiplet_4_3,0.054000,0.124000,0.017000,0.030000,Bump
Chiplet_4_4,0.072000,0.124000,0.017000,0.030000,Bump
Chiplet_4_5,0.090000,0.124000,0.017000,0.030000,Bump
Chiplet_4_6,0.108000,0.124000,0.017000,0.030000,Bump
Chiplet_4_7,0.126000,0.124000,0.017000,0.030000,Bump
Chiplet_4_8,0.144000,0.124000,0.017000,0.030000,Bump
Chiplet_4_9,0.162000,0.124000,0.017000,0.030000,Bump
Chiplet_4_10,0.180000,0.124000,0.017000,0.030000,Bump
Chiplet_4_11,0.198000,0.124000,0.017000,0.030000,Bump
Chiplet_5_0,0.000000,0.155000,0.017000,0.030000,Bump
Chiplet_5_1,0.018000,0.155000,0.017000,0.030000,Bump
Chiplet_5_2,0.036000,0.155000,0.017000,0.030000,Bump
Chiplet_5_3,0.054000,0.155000,0.017000,0.030000,Bump
Chiplet_5_4,0.072000,0.155000,0.017000,0.030000,Bump
Chiplet_5_5,0.090000,0.155000,0.017000,0.030000,Bump
Chiplet_5_6,0.108000,0.155000,0.017000,0.030000,Bump
Chiplet_5_7,0.126000,0.155000,0.017000,0.030000,Bump
Chiplet_5_8,0.144000,0.155000,0.017000,0.030000,Bump
Chiplet_5_9,0.162000,0.155000,0.017000,0.030000,Bump
Chiplet_5_10,0.180000,0.155000,0.017000,0.030000,Bump
Chiplet_5_11,0.198000,0.155000,0.017000,0.030000,Bump
Chiplet_6_0,0.000000,0.186000,0.017000,0.030000,Bump
Chiplet_6_1,0.018000,0.186000,0.017000,0.030000,Bump
Chiplet_6_2,0.036000,0.186000,0.017000,0.030000,Bump
Chiplet_6_3,0.054000,0.186000,0.017000,0.030000,Bump
Chiplet_6_4,0.072000,0.186000,0.017000,0.030000,Bump
Chiplet_6_5,0.090000,0.186000,0.017000,0.030000,Bump
Chiplet_6_6,0.108000,0.186000,0.017000,0.030000,Bump
Chiplet_6_7,0.126000,0.186000,0.017000,0.030000,Bump
Chiplet_6_8,0.144000,0.186000,0.017000,0.030000,Bump
Chiplet_6_9,0.162000,0.186000,0.017000,0.030000,Bump
Chiplet_6_10,0.180000,0.186000,0.017000,0.030000,Bump
Chiplet_6_11,0.198000,0.186000,0.017000,0.030000,Bump
